days_to_send,touchpoint_status,pct_of_cancellation_to_apply,forecast_year
-7,Awaiting Approval,0,2023
-6,Awaiting Approval,0.00840925,2023
-5,Awaiting Approval,0.01121233,2023
-4,Awaiting Approval,0.02452698,2023
-3,Awaiting Approval,0.04695165,2023
-2,Awaiting Approval,0.05746321,2023
-1,Awaiting Approval,0.06166784,2023
0,Awaiting Approval,0.06587246,2023
1,Awaiting Approval,0.07147863,2023
2,Awaiting Approval,0.07918711,2023
3,Awaiting Approval,0.10021023,2023
4,Awaiting Approval,0.11072179,2023
5,Awaiting Approval,0.12613875,2023
6,Awaiting Approval,0.12683952,2023
7,Awaiting Approval,0.1275403,2023
8,Awaiting Approval,0.14015417,2023
9,Awaiting Approval,0.15487036,2023
10,Awaiting Approval,0.17379117,2023
11,Awaiting Approval,0.19691661,2023
12,Awaiting Approval,0.2067274,2023
13,Awaiting Approval,0.20812894,2023
14,Awaiting Approval,0.20882971,2023
15,Awaiting Approval,0.21513665,2023
16,Awaiting Approval,0.22284513,2023
17,Awaiting Approval,0.2452698,2023
18,Awaiting Approval,0.26138753,2023
19,Awaiting Approval,0.27049755,2023
20,Awaiting Approval,0.27259986,2023
21,Awaiting Approval,0.2740014,2023
22,Awaiting Approval,0.28451296,2023
23,Awaiting Approval,0.2957253,2023
24,Awaiting Approval,0.31604765,2023
25,Awaiting Approval,0.3342677,2023
26,Awaiting Approval,0.3342677,2023
27,Awaiting Approval,0.34548003,2023
28,Awaiting Approval,0.3461808,2023
29,Awaiting Approval,0.35879467,2023
30,Awaiting Approval,0.36510161,2023
31,Awaiting Approval,0.38822705,2023
32,Awaiting Approval,0.40784863,2023
33,Awaiting Approval,0.42256482,2023
34,Awaiting Approval,0.4253679,2023
35,Awaiting Approval,0.42747022,2023
36,Awaiting Approval,0.43868255,2023
37,Awaiting Approval,0.4519972,2023
38,Awaiting Approval,0.46250876,2023
39,Awaiting Approval,0.48213034,2023
40,Awaiting Approval,0.48213034,2023
41,Awaiting Approval,0.49053959,2023
42,Awaiting Approval,0.49404345,2023
43,Awaiting Approval,0.50455501,2023
44,Awaiting Approval,0.50946041,2023
45,Awaiting Approval,0.52838122,2023
46,Awaiting Approval,0.55010512,2023
47,Awaiting Approval,0.55010512,2023
48,Awaiting Approval,0.55010512,2023
49,Awaiting Approval,0.56341976,2023
50,Awaiting Approval,0.57112824,2023
51,Awaiting Approval,0.5816398,2023
52,Awaiting Approval,0.60056062,2023
53,Awaiting Approval,0.61948143,2023
54,Awaiting Approval,0.62718991,2023
55,Awaiting Approval,0.62929222,2023
56,Awaiting Approval,0.63139454,2023
57,Awaiting Approval,0.63770147,2023
58,Awaiting Approval,0.64470918,2023
59,Awaiting Approval,0.65942537,2023
60,Awaiting Approval,0.67974772,2023
61,Awaiting Approval,0.68815697,2023
62,Awaiting Approval,0.68885774,2023
63,Awaiting Approval,0.68955851,2023
64,Awaiting Approval,0.69656622,2023
65,Awaiting Approval,0.70077085,2023
66,Awaiting Approval,0.71969166,2023
67,Awaiting Approval,0.73440785,2023
68,Awaiting Approval,0.73440785,2023
69,Awaiting Approval,0.74842327,2023
70,Awaiting Approval,0.75052558,2023
71,Awaiting Approval,0.75543097,2023
72,Awaiting Approval,0.76103714,2023
73,Awaiting Approval,0.77435179,2023
74,Awaiting Approval,0.78626489,2023
75,Awaiting Approval,0.79747723,2023
76,Awaiting Approval,0.79747723,2023
77,Awaiting Approval,0.798178,2023
78,Awaiting Approval,0.80588648,2023
79,Awaiting Approval,0.8100911,2023
80,Awaiting Approval,0.81569727,2023
81,Awaiting Approval,0.82480729,2023
82,Awaiting Approval,0.83882271,2023
83,Awaiting Approval,0.83952348,2023
84,Awaiting Approval,0.84092502,2023
85,Awaiting Approval,0.84723196,2023
86,Awaiting Approval,0.85143658,2023
87,Awaiting Approval,0.85494043,2023
88,Awaiting Approval,0.86334968,2023
89,Awaiting Approval,0.87105816,2023
90,Awaiting Approval,0.87245971,2023
91,Awaiting Approval,0.87456202,2023
92,Awaiting Approval,0.88016819,2023